"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,8.3486e-07,0,200,2,1.2623,27,27
3,8.3486e-07,1,200,3,1.2623,0,0
3,0.00024181,2,200,2,0.11976,21,21
3,0.00024181,3,200,1,0.11976,13,13
3,1.8043e-06,4,200,2,0.83699,7,15
3,1.8043e-06,5,200,1,0.83699,1,5
3,5.1591e-05,6,200,2,0.053254,29,29
3,5.1591e-05,7,200,1,0.053254,23,23
3,3.5185e-05,8,200,2,0.055317,25,25
3,3.5185e-05,9,200,1,0.055317,19,19
3,4.1361e-06,10,200,2,0.83715,15,7
3,4.1361e-06,11,200,1,0.83715,5,1
3,2.4654e-05,12,200,2,0.061395,9,17
3,2.4654e-05,13,200,1,0.061395,3,11
3,2.618e-05,14,200,2,0.061359,17,9
3,2.618e-05,15,200,1,0.061359,11,3
