"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,3.4778e-07,0,200,2,0.7469,23,19
3,3.4778e-07,1,200,3,0.7469,0,0
3,6.1864e-06,2,200,2,0.42846,31,27
3,6.1864e-06,3,200,1,0.42846,15,15
3,2.463e-07,4,200,2,0.15462,7,7
3,2.463e-07,5,200,1,0.15462,1,1
3,2.5801e-06,6,200,2,0.52262,17,17
3,2.5801e-06,7,200,1,0.52262,11,11
3,1.9519e-07,8,200,2,0.1549,13,13
3,1.9519e-07,9,200,1,0.1549,5,5
3,6.8963e-05,10,200,2,0.17624,33,29
3,6.8963e-05,11,200,1,0.17624,27,23
3,2.1791e-05,12,200,2,0.20003,29,25
3,2.1791e-05,13,200,1,0.20003,21,21
3,1.4372e-08,14,200,2,0.081641,9,9
3,1.4372e-08,15,200,1,0.081641,3,3
