"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,4.3035e-06,0,200,2,1.2939,13,13
3,4.3035e-06,1,200,3,1.2939,0,0
3,0.00073154,2,200,2,0.22577,19,19
3,0.00073154,3,200,1,0.22577,7,7
3,2.1134e-08,4,200,2,0.85714,5,9
3,2.1134e-08,5,200,1,0.85714,1,3
3,5.3512e-08,6,200,2,0.85712,9,5
3,5.3512e-08,7,200,1,0.85712,3,1
3,0.00025739,8,200,2,0.17623,17,17
3,0.00025739,9,200,1,0.17623,11,11
3,0.004262,10,200,2,0.15045,21,21
3,0.004262,11,200,1,0.15045,15,15
