"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,8.0023e-08,0,200,2,1.292,13,13
3,8.0023e-08,1,200,3,1.292,0,0
3,1.3603e-05,2,200,2,0.18153,19,19
3,1.3603e-05,3,200,1,0.18153,7,7
3,3.9396e-10,4,200,2,0.85566,5,5
3,3.9396e-10,5,200,1,0.85566,1,1
3,9.942e-10,6,200,2,0.85554,9,9
3,9.942e-10,7,200,1,0.85554,3,3
3,4.7863e-06,8,200,2,0.13869,17,17
3,4.7863e-06,9,200,1,0.13869,11,11
3,7.9252e-05,10,200,2,0.1234,21,21
3,7.9252e-05,11,200,1,0.1234,15,15
