"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,8.3486e-07,0,200,2,1.263,19,19
3,8.3486e-07,1,200,3,1.263,0,0
3,0.00024181,2,200,2,0.1186,13,13
3,0.00024181,3,200,1,0.1186,7,7
3,1.8043e-06,4,200,2,0.83628,5,5
3,1.8043e-06,5,200,1,0.83628,1,1
3,5.1592e-05,6,200,2,0.04583,21,21
3,5.1592e-05,7,200,1,0.04583,15,15
3,3.5185e-05,8,200,2,0.050019,17,17
3,3.5185e-05,9,200,1,0.050019,11,11
3,4.1361e-06,10,200,2,0.83587,9,9
3,4.1361e-06,11,200,1,0.83587,3,3
