"BranchID","Cell Type","ClusterID","PercentMatchArc","Persistence","TreeID","downNodeId","isDummyArc","isImportantPair","upNodeId"
0,3,0,200,1.2932,0,2,0,1,0
0,3,0,200,1.2932,0,4,0,1,2
1,3,0,200,0.85657,0,6,1,1,2
1,3,0,200,0.85657,0,6,0,1,2
0,3,0,200,1.2932,0,8,0,1,4
2,3,0,200,0.85652,0,10,1,1,4
2,3,0,200,0.85652,0,10,0,1,4
3,3,0,200,0.20875,0,12,1,1,8
3,3,0,200,0.20875,0,12,0,1,8
0,3,0,200,1.2932,0,14,0,1,8
3,3,0,200,0.20875,0,16,0,1,12
4,3,0,200,0.16151,0,18,1,1,12
4,3,0,200,0.16151,0,18,0,1,12
3,3,0,200,0.20875,0,20,0,1,16
5,3,0,200,0.14027,0,22,1,1,16
5,3,0,200,0.14027,0,22,0,1,16
