"BranchNodeID","ClusterID","CriticalType","NodeId","PercentMatchNode","Persistence","Scalar","TreeID","VertexId","isDummyNode","isImportantPair"
0,0,3,0,200,1.5025,-2.7081e-06,0,44332,0,1
1,0,1,2,200,0.61907,-0.58375,0,44635,0,1
1,0,1,2,200,0.61907,-0.58375,0,44635,1,1
2,0,1,4,100,0.13447,-0.99068,0,44332,0,1
2,0,1,4,100,0.13447,-0.99068,0,44332,1,1
1,0,0,6,200,0.61907,-1.2028,0,21157,0,1
1,0,0,6,200,0.61907,-1.2028,0,21157,1,1
0,0,0,8,200,1.5025,-1.5025,0,44310,0,1
0,0,0,8,200,1.5025,-1.5025,0,44310,1,1
2,0,0,10,100,0.13447,-1.1252,0,44310,0,1
2,0,0,10,100,0.13447,-1.1252,0,44310,1,1
