"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,1.8356e-07,0,200,2,0.7387,39,39
3,1.8356e-07,1,200,3,0.7387,0,0
3,1.3004e-05,2,200,2,0.17211,17,17
3,1.3004e-05,3,200,1,0.17211,11,11
3,2.9606e-05,4,200,2,0.071271,41,41
3,2.9606e-05,5,200,1,0.071271,35,35
3,4.3478e-05,6,200,2,0.078508,25,25
3,4.3478e-05,7,200,1,0.078508,19,19
3,3.6624e-05,8,200,2,0.14283,21,21
3,3.6624e-05,9,200,1,0.14283,15,15
3,0.00011921,10,200,2,0.31303,5,5
3,0.00011921,11,200,1,0.31303,1,1
3,1.6863e-05,12,200,2,0.11186,37,37
3,1.6863e-05,13,200,1,0.11186,31,31
3,9.5673e-06,14,200,2,0.097643,33,33
3,9.5673e-06,15,200,1,0.097643,27,27
3,2.5897e-05,16,200,2,0.1234,29,29
3,2.5897e-05,17,200,1,0.1234,23,23
3,9.8238e-05,18,200,2,0.30005,13,13
3,9.8238e-05,19,200,1,0.30005,7,7
3,6.5209e-05,20,200,2,0.11314,9,9
3,6.5209e-05,21,200,1,0.11314,3,3
