"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,6.2448e-07,0,200,2,0.73888,39,39
3,6.2448e-07,1,200,3,0.73888,0,0
3,4.424e-05,2,200,2,0.17337,17,17
3,4.424e-05,3,200,1,0.17337,11,11
3,0.00010072,4,200,2,0.069416,41,41
3,0.00010072,5,200,1,0.069416,35,35
3,0.00014791,6,200,2,0.080322,25,25
3,0.00014791,7,200,1,0.080322,19,19
3,0.0001246,8,200,2,0.1406,21,21
3,0.0001246,9,200,1,0.1406,15,15
3,0.00040556,10,200,2,0.3096,9,5
3,0.00040556,11,200,1,0.3096,3,1
3,5.7367e-05,12,200,2,0.11051,37,37
3,5.7367e-05,13,200,1,0.11051,31,31
3,3.2548e-05,14,200,2,0.096683,33,33
3,3.2548e-05,15,200,1,0.096683,27,27
3,8.8101e-05,16,200,2,0.12567,29,29
3,8.8101e-05,17,200,1,0.12567,23,23
3,0.0003342,18,200,2,0.2969,13,13
3,0.0003342,19,200,1,0.2969,7,7
3,0.00022184,20,200,2,0.11358,5,9
3,0.00022184,21,200,1,0.11358,1,3
