"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,6.3517e-07,0,200,2,0.74321,43,43
3,6.3517e-07,1,200,3,0.74321,0,0
3,0.00027728,2,200,2,0.29028,9,9
3,0.00027728,3,200,1,0.29028,3,3
3,0.00067632,4,200,2,0.11234,41,37
3,0.00067632,5,200,1,0.11234,35,31
3,0.00073629,6,200,2,0.084613,37,41
3,0.00073629,7,200,1,0.084613,31,35
3,8.2627e-05,8,200,2,0.14371,25,25
3,8.2627e-05,9,200,1,0.14371,19,19
3,0.00031193,10,200,2,0.18628,21,21
3,0.00031193,11,200,1,0.18628,15,15
3,0.00021386,12,200,2,0.11218,5,5
3,0.00021386,13,200,1,0.11218,1,1
3,5.8434e-06,14,200,2,0.27864,17,13
3,5.8434e-06,15,200,1,0.27864,11,7
3,8.4162e-05,16,200,2,0.064972,13,17
3,8.4162e-05,17,200,1,0.064972,7,11
3,0.00010028,18,200,2,0.089133,45,45
3,0.00010028,19,200,1,0.089133,39,39
3,0.00035439,20,200,2,0.1111,33,33
3,0.00035439,21,200,1,0.1111,27,27
3,0.00026367,22,200,2,0.093105,29,29
3,0.00026367,23,200,1,0.093105,23,23
