"BranchID","Cell Type","ClusterID","PercentMatchArc","Persistence","TreeID","downNodeId","isDummyArc","isImportantPair","upNodeId"
0,3,0,200,1.3931,0,2,0,1,0
1,3,0,200,0.85452,0,4,1,1,2
1,3,0,200,0.85452,0,4,0,1,2
0,3,0,200,1.3931,0,6,0,1,2
1,3,0,200,0.85452,0,8,0,1,4
2,3,0,200,0.11802,0,10,1,1,4
2,3,0,200,0.11802,0,10,0,1,4
0,3,0,200,1.3931,0,12,0,1,6
3,3,0,200,0.12974,0,14,1,1,6
3,3,0,200,0.12974,0,14,0,1,6
1,3,0,200,0.85452,0,16,0,1,8
4,3,0,200,0.047365,0,18,1,1,8
4,3,0,200,0.047365,0,18,0,1,8
1,3,0,200,0.85452,0,20,0,1,16
5,3,0,200,0.042111,0,22,1,1,16
5,3,0,200,0.042111,0,22,0,1,16
