"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,8.7195e-06,0,200,2,1.3848,11,11
3,8.7195e-06,1,200,3,1.3848,0,0
3,3.4642e-06,2,200,2,0.12268,13,13
3,3.4642e-06,3,200,1,0.12268,5,5
3,3.5239e-06,4,200,2,0.85655,19,19
3,3.5239e-06,5,200,1,0.85655,1,1
3,0.00013307,6,200,2,0.12016,9,9
3,0.00013307,7,200,1,0.12016,3,3
3,2.7564e-05,8,200,2,0.05578,21,21
3,2.7564e-05,9,200,1,0.05578,15,15
3,1.7703e-05,10,200,2,0.05712,17,17
3,1.7703e-05,11,200,1,0.05712,7,7
