"Cell Type","Cost","MatchingID","MatchingPercentMatch","MatchingType","MeanMatchedPersistence","tree1NodeId","tree2NodeId"
3,4.0013e-06,0,200,2,1.3929,11,11
3,4.0013e-06,1,200,3,1.3929,0,0
3,1.5897e-06,2,200,2,0.1296,13,13
3,1.5897e-06,3,200,1,0.1296,5,5
3,1.6171e-06,4,200,2,0.85456,19,19
3,1.6171e-06,5,200,1,0.85456,1,1
3,6.1064e-05,6,200,2,0.11806,9,9
3,6.1064e-05,7,200,1,0.11806,3,3
3,1.2648e-05,8,200,2,0.042383,21,21
3,1.2648e-05,9,200,1,0.042383,15,15
3,8.1237e-06,10,200,2,0.047559,17,17
3,8.1237e-06,11,200,1,0.047559,7,7
